"","Correlation features","Correlation Value"
"1","Otu00001 ~~ Otu00001","1"
"2","Otu00002 ~~ Otu00001","0.592352749131779"
"3","Otu00035 ~~ Otu00001","0.630893493334769"
"4","Otu00234 ~~ Otu00001","0.637372165246079"
"5","Otu00324 ~~ Otu00001","0.73328237892651"
"6","Otu00057 ~~ Otu00057","1"
"7","Otu00023 ~~ Otu00023","1"
"8","Otu00207 ~~ Otu00023","0.515814341110119"
"9","Otu00171 ~~ Otu00023","0.540744536240095"
"10","Otu00001 ~~ Otu00002","0.592352749131779"
"11","Otu00002 ~~ Otu00002","1"
"12","Otu00234 ~~ Otu00002","0.521410049945172"
"13","Otu00324 ~~ Otu00002","0.556603551923519"
"14","Otu00046 ~~ Otu00046","1"
"15","Otu00083 ~~ Otu00046","0.889850221590857"
"16","Otu00073 ~~ Otu00046","0.883823604526671"
"17","Otu00101 ~~ Otu00046","0.78111980802607"
"18","Otu00154 ~~ Otu00046","0.893154747061745"
"19","Otu00056 ~~ Otu00046","0.736093831467494"
"20","Otu00160 ~~ Otu00046","0.895152497895495"
"21","Otu00038 ~~ Otu00046","0.832369297288515"
"22","Otu00003 ~~ Otu00003","1"
"23","Otu00049 ~~ Otu00003","0.678204809872005"
"24","Otu00014 ~~ Otu00003","0.547020978351078"
"25","Otu00022 ~~ Otu00003","0.560182917438916"
"26","Otu00012 ~~ Otu00003","0.525542344832705"
"27","Otu00011 ~~ Otu00003","0.717529573384973"
"28","Otu00090 ~~ Otu00003","0.51366346752374"
"29","Otu00039 ~~ Otu00003","0.555986289747506"
"30","Otu00044 ~~ Otu00003","0.502608729870709"
"31","Otu00040 ~~ Otu00003","0.5416755459362"
"32","Otu00010 ~~ Otu00003","0.61985522742889"
"33","Otu00008 ~~ Otu00003","0.664146616131571"
"34","Otu00004 ~~ Otu00003","0.805653038870634"
"35","Otu00053 ~~ Otu00003","0.502701702987638"
"36","Otu00079 ~~ Otu00003","0.516484944710878"
"37","Otu00031 ~~ Otu00003","0.663379873304686"
"38","Otu00131 ~~ Otu00003","0.531385614902729"
"39","Otu00213 ~~ Otu00213","1"
"40","Otu00015 ~~ Otu00015","1"
"41","Otu00007 ~~ Otu00007","1"
"42","Otu00003 ~~ Otu00049","0.678204809872005"
"43","Otu00049 ~~ Otu00049","1"
"44","Otu00014 ~~ Otu00049","0.55522834755913"
"45","Otu00011 ~~ Otu00049","0.691536240647384"
"46","Otu00039 ~~ Otu00049","0.622113795593203"
"47","Otu00010 ~~ Otu00049","0.538259698017443"
"48","Otu00008 ~~ Otu00049","0.533112528759627"
"49","Otu00004 ~~ Otu00049","0.737830830310739"
"50","Otu00053 ~~ Otu00049","0.566040579085325"
"51","Otu00079 ~~ Otu00049","0.517994504699153"
"52","Otu00031 ~~ Otu00049","0.552310354842636"
"53","Otu00131 ~~ Otu00049","0.523977289832107"
"54","Otu00061 ~~ Otu00049","0.508115200344325"
"55","Otu00046 ~~ Otu00083","0.889850221590857"
"56","Otu00083 ~~ Otu00083","1"
"57","Otu00073 ~~ Otu00083","0.79872953256607"
"58","Otu00101 ~~ Otu00083","0.838206550883927"
